index,time,entity_id,idcode,soc,fracsec_count,captured_at,lag_ms,freq,freq_dev,rocof,mw,mvar,mva,power_factor,va_mag,va_ang,vb_mag,vb_ang,vc_mag,vc_ang,ia_mag,ia_ang,stat,digital,crc_valid,time_quality
1,2026-09-07T04:58:45.16Z,pmu-5,1,1788757125,160000,2026-09-07T04:58:32.8141518Z,-12345.848,60.006001,0.006001,0.000172,0.000000,0.000000,0.000000,1.000000,68.012115,-51.712345,67.993881,-51.684452,67.989105,-49.990128,67.982948,-50.205074,0,8,true,0
2,2026-09-07T04:58:45.06Z,pmu-2,1,1788757125,60000,2026-09-07T04:58:32.8141518Z,-12245.848,60.006744,0.006744,0.000329,0.000000,0.000000,0.000000,1.000000,56.013561,-135.990631,55.986298,-136.547058,55.994408,-137.161011,56.004116,-136.193558,0,11,true,0
3,2026-09-07T04:58:44.8Z,pmu-1,1,1788757124,800000,2026-09-07T04:58:32.8141518Z,-11985.848,60.000404,0.000404,0.000198,0.000000,0.000000,0.000000,1.000000,67.982712,-49.385651,67.988579,-49.827621,67.972679,-49.718899,67.995041,-51.671604,0,12,true,0
4,2026-09-07T04:58:44.64Z,pmu-4,1,1788757124,640000,2026-09-07T04:58:32.8141518Z,-11825.848,60.006695,0.006695,0.000302,0.000000,0.000000,0.000000,1.000000,94.993019,145.207184,94.995316,143.980148,95.014771,145.106720,94.980370,143.899689,0,0,true,0
5,2026-09-07T04:58:45.18Z,pmu-5,1,1788757125,180000,2026-09-07T04:58:32.8685926Z,-12311.407,59.994003,-0.005997,-0.000240,0.000000,0.000000,0.000000,1.000000,71.019371,-29.642588,70.999794,-29.599762,70.988159,-28.488344,70.977318,-28.999046,0,9,true,0
6,2026-09-07T04:58:45.2Z,pmu-5,1,1788757125,200000,2026-09-07T04:58:32.8685926Z,-12331.407,60.005173,0.005173,0.000223,0.000000,0.000000,0.000000,1.000000,74.020187,-8.440756,73.994431,-8.182366,73.994362,-7.252906,73.987099,-7.735911,0,10,true,0
7,2026-09-07T04:58:44.66Z,pmu-4,1,1788757124,660000,2026-09-07T04:58:32.8685926Z,-11791.407,60.005260,0.005260,-0.000029,0.000000,0.000000,0.000000,1.000000,97.998459,166.529922,97.994133,166.093704,98.007935,167.258347,97.972176,165.471802,0,1,true,0
8,2026-09-07T04:58:45.08Z,pmu-2,1,1788757125,80000,2026-09-07T04:58:32.8685926Z,-12211.407,59.990772,-0.009228,-0.000319,0.000000,0.000000,0.000000,1.000000,59.014332,-114.436943,58.982014,-115.285629,58.998657,-115.276611,58.994858,-115.000084,0,12,true,0
9,2026-09-07T04:58:44.82Z,pmu-1,1,1788757124,820000,2026-09-07T04:58:32.8685926Z,-11951.407,59.997242,-0.002758,-0.000063,0.000000,0.000000,0.000000,1.000000,70.974449,-27.640188,70.995285,-28.043650,70.980225,-28.609570,70.993721,-29.995031,0,13,true,0
10,2026-09-07T04:58:43.96Z,pmu-3,1,1788757123,960000,2026-09-07T04:58:32.8685926Z,-11091.407,60.000607,0.000607,0.000078,0.000000,0.000000,0.000000,1.000000,58.984650,-115.162331,59.001022,-115.463348,59.001732,-114.988861,58.995544,-115.947693,0,6,true,0
