index,time,entity_id,idcode,soc,fracsec_count,captured_at,lag_ms,freq,freq_dev,rocof,mw,mvar,mva,power_factor,va_mag,va_ang,vb_mag,vb_ang,vc_mag,vc_ang,ia_mag,ia_ang,stat,digital,crc_valid,time_quality
1,2026-09-03T09:48:01.12Z,pmu-5,1,1788428881,120000,2026-09-03T09:48:00.4045049Z,-715.495,59.993958,-0.006042,-0.000004,0.000000,0.000000,0.000000,1.000000,85.974442,79.306839,85.983597,78.927956,86.008095,79.612114,86.009209,78.290642,0,8,true,0
2,2026-09-03T09:48:00.76Z,pmu-1,1,1788428880,760000,2026-09-03T09:48:00.4045049Z,-355.495,60.006481,0.006481,0.000273,0.000000,0.000000,0.000000,1.000000,79.999084,36.014278,79.970932,36.173073,80.003464,37.804222,80.017380,35.107258,0,14,true,0
3,2026-09-03T09:48:01.28Z,pmu-4,1,1788428881,280000,2026-09-03T09:48:00.4045049Z,-875.495,60.009628,0.009628,0.000389,0.000000,0.000000,0.000000,1.000000,77.015030,13.694051,76.998337,14.051371,77.024551,12.274889,76.977234,14.319085,0,6,true,0
4,2026-09-03T09:48:01.4Z,pmu-3,1,1788428881,400000,2026-09-03T09:48:00.4045049Z,-995.495,59.996895,-0.003105,0.000032,0.000000,0.000000,0.000000,1.000000,50.000000,-180.000000,50.000000,-180.000000,50.000000,-180.000000,50.000000,-180.000000,0,10,true,0
5,2026-09-03T09:48:01.24Z,pmu-2,1,1788428881,240000,2026-09-03T09:48:00.4050177Z,-834.982,60.005650,0.005650,0.000123,0.000000,0.000000,0.000000,1.000000,77.014748,14.521050,77.029106,15.421371,76.992149,15.996861,76.993744,15.323094,0,2,true,0
6,2026-09-03T09:48:01.14Z,pmu-5,1,1788428881,140000,2026-09-03T09:48:00.4561974Z,-683.803,60.008602,0.008602,0.000293,0.000000,0.000000,0.000000,1.000000,88.965385,100.362976,88.991325,100.197212,89.003418,101.708687,88.999359,99.861214,0,9,true,0
7,2026-09-03T09:48:00.78Z,pmu-1,1,1788428880,780000,2026-09-03T09:48:00.4561974Z,-323.803,59.997070,-0.002930,-0.000188,0.000000,0.000000,0.000000,1.000000,83.006226,58.118591,82.967819,57.618267,83.003830,59.327271,83.008339,56.747143,0,15,true,0
8,2026-09-03T09:48:01.42Z,pmu-3,1,1788428881,420000,2026-09-03T09:48:00.4561974Z,-963.803,59.990749,-0.009251,-0.000123,0.000000,0.000000,0.000000,1.000000,53.007679,-158.220688,52.997288,-158.229507,52.991375,-158.469971,53.005856,-158.384308,0,11,true,0
9,2026-09-03T09:48:01.3Z,pmu-4,1,1788428881,300000,2026-09-03T09:48:00.4561974Z,-843.803,60.008621,0.008621,-0.000020,0.000000,0.000000,0.000000,1.000000,80.016243,35.213844,79.993164,35.437572,80.026924,34.268059,79.971367,35.521580,0,7,true,0
10,2026-09-03T09:48:01.26Z,pmu-2,1,1788428881,260000,2026-09-03T09:48:00.4561974Z,-803.803,60.009464,0.009464,0.000076,0.000000,0.000000,0.000000,1.000000,80.013847,35.971462,80.024712,36.579559,79.984726,37.188900,79.989784,36.876564,0,3,true,0
11,2026-09-03T09:48:01.16Z,pmu-5,1,1788428881,160000,2026-09-03T09:48:00.4561974Z,-703.803,59.999546,-0.000454,-0.000181,0.000000,0.000000,0.000000,1.000000,91.957153,122.301491,91.995316,121.614372,91.997169,123.186134,91.998283,121.313187,0,10,true,0
12,2026-09-03T09:48:01.44Z,pmu-3,1,1788428881,440000,2026-09-03T09:48:00.4561974Z,-983.803,59.992607,-0.007393,0.000037,0.000000,0.000000,0.000000,1.000000,56.006222,-136.338165,56.005623,-136.170898,55.984020,-136.357712,55.998920,-136.830490,0,12,true,0
13,2026-09-03T09:48:01.28Z,pmu-2,1,1788428881,280000,2026-09-03T09:48:00.4561974Z,-823.803,59.997944,-0.002056,-0.000230,0.000000,0.000000,0.000000,1.000000,83.019264,58.113819,83.034592,58.598400,82.981972,59.010811,82.981232,58.919533,0,4,true,0
14,2026-09-03T09:48:00.8Z,pmu-1,1,1788428880,800000,2026-09-03T09:48:00.4561974Z,-343.803,60.002934,0.002934,0.000117,0.000000,0.000000,0.000000,1.000000,86.013359,79.271324,85.966011,78.910637,86.000862,80.901825,86.004990,78.317749,0,0,true,0
15,2026-09-03T09:48:01.32Z,pmu-4,1,1788428881,320000,2026-09-03T09:48:00.4561974Z,-863.803,60.007854,0.007854,-0.000015,0.000000,0.000000,0.000000,1.000000,83.026184,57.301189,83.000061,56.931767,83.024368,55.448242,82.968391,57.279076,0,8,true,0
16,2026-09-03T09:48:01.18Z,pmu-5,1,1788428881,180000,2026-09-03T09:48:00.5005987Z,-679.401,59.990318,-0.009682,-0.000185,0.000000,0.000000,0.000000,1.000000,94.947174,143.543945,95.005150,142.980988,95.006058,145.153778,95.002907,142.477493,0,11,true,0
17,2026-09-03T09:48:01.46Z,pmu-3,1,1788428881,460000,2026-09-03T09:48:00.5011288Z,-958.871,59.998367,-0.001633,0.000115,0.000000,0.000000,0.000000,1.000000,59.013908,-114.682266,58.999016,-114.422188,58.988998,-114.785042,58.996693,-115.101006,0,13,true,0
