pmu_name,timestamp_utc,soc,fracsec,idcode,stat_hex,crc_ok,frequency_hz,rocof_hz_s,mw,mvar,digital_hex,frame_bytes,va_mag,va_angle_deg,vb_mag,vb_angle_deg,vc_mag,vc_angle_deg,ia_mag,ia_angle_deg
PMU.001,2026-07-09T06:10:03.6Z,1783577403,600000,1,0x0000,true,60.014133,0.000393,0.000000,0.000000,0x0008,88,59.982742,-180.000000,65.005127,106.950844,54.995739,-107.204689,64.986374,35.169083
PMU.001,2026-07-09T06:10:03.633333Z,1783577403,633333,1,0x0000,true,59.983772,-0.001012,0.000000,0.000000,0x0009,88,64.997635,-143.691757,70.015656,142.045807,59.985165,-70.400307,69.994385,72.112648
PMU.001,2026-07-09T06:10:03.666666Z,1783577403,666666,1,0x0000,true,59.998436,0.000489,0.000000,0.000000,0x000A,88,70.012619,-107.717957,75.013855,177.763962,64.973373,-35.200199,74.986893,109.060577
PMU.001,2026-07-09T06:10:03.7Z,1783577403,700000,1,0x0000,true,60.011280,0.000428,0.000000,0.000000,0x000B,88,75.021172,-71.803787,80.016411,-180.000000,69.973839,0.474653,79.986328,144.922531
PMU.001,2026-07-09T06:10:03.733333Z,1783577403,733333,1,0x0000,true,60.013233,0.000065,0.000000,0.000000,0x000C,88,80.018616,-35.582619,85.013878,-143.491257,74.981331,36.600117,84.998856,-180.000000
PMU.001,2026-07-09T06:10:03.766666Z,1783577403,766666,1,0x0000,true,60.002579,-0.000355,0.000000,0.000000,0x000D,88,85.032539,0.642979,90.015862,-106.846695,79.981483,72.095680,90.008385,-143.744568
PMU.001,2026-07-09T06:10:03.8Z,1783577403,800000,1,0x0000,true,60.003372,0.000026,0.000000,0.000000,0x000E,88,90.019005,37.597267,95.012329,-69.962578,84.968178,108.884666,94.992004,-107.428978
PMU.001,2026-07-09T06:10:03.833333Z,1783577403,833333,1,0x0000,true,60.015160,0.000393,0.000000,0.000000,0x000F,88,95.006798,72.996078,50.000000,-34.353939,89.984268,145.394363,50.000000,-72.143768
PMU.001,2026-07-09T06:10:03.866666Z,1783577403,866666,1,0x0000,true,59.995827,-0.000644,0.000000,0.000000,0x0000,88,50.000000,108.322617,54.992542,1.777759,94.981949,-180.000000,54.995548,-35.347904
PMU.001,2026-07-09T06:10:03.9Z,1783577403,900000,1,0x0000,true,59.989998,-0.000194,0.000000,0.000000,0x0001,88,54.996067,144.766891,60.003441,38.472618,99.996231,-143.387909,60.011208,0.879210
